tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0039302,movie,Dark Passage,1947,106,"Drama,Film-Noir,Thriller",7.5,24015
tt0039404,movie,Fun and Fancy Free,1947,73,"Adventure,Animation,Comedy",6.3,10616
tt0039416,movie,Gentleman's Agreement,1947,118,"Drama,Romance",7.2,19223
tt0039417,movie,Germany Year Zero,1948,78,Drama,7.8,15391
tt0039420,movie,The Ghost and Mrs. Muir,1947,104,"Comedy,Drama,Fantasy",7.8,21379
tt0039536,movie,Kiss of Death,1947,99,"Crime,Drama,Film-Noir",7.4,10617
tt0039628,movie,Miracle on 34th Street,1947,96,"Comedy,Drama,Family",7.9,59888
tt0039631,movie,Monsieur Verdoux,1947,124,"Comedy,Crime,Drama",7.8,20662
tt0039661,movie,Nightmare Alley,1947,110,"Drama,Film-Noir",7.7,14667
tt0039677,movie,Odd Man Out,1947,116,"Crime,Drama,Film-Noir",7.6,13160
tt0039689,movie,Out of the Past,1947,97,"Crime,Drama,Film-Noir",7.9,44867
tt0039694,movie,The Paradine Case,1947,125,"Crime,Drama,Romance",6.5,13479
tt0040064,movie,3 Godfathers,1948,106,"Drama,Western",7.0,11656
tt0040068,movie,Abbott and Costello Meet Frankenstein,1948,83,"Comedy,Family,Fantasy",7.3,20438
tt0040160,movie,The Big Clock,1948,95,"Crime,Drama,Film-Noir",7.6,10966
tt0040202,movie,Call Northside 777,1948,112,"Drama,Film-Noir",7.4,11517
tt0040308,movie,Easter Parade,1948,103,"Musical,Romance",7.3,12130
tt0040338,movie,The Fallen Idol,1948,95,"Drama,Film-Noir,Mystery",7.6,10795
tt0040369,movie,Fort Apache,1948,128,"Drama,Western",7.4,21456
tt0040416,movie,Hamlet,1948,154,Drama,7.5,20002
tt0040506,movie,Key Largo,1948,100,"Action,Crime,Drama",7.7,47380
tt0040522,movie,Bicycle Thieves,1948,89,Drama,8.2,192064
tt0040525,movie,The Lady from Shanghai,1947,87,"Crime,Drama,Film-Noir",7.5,36748
tt0040536,movie,Letter from an Unknown Woman,1948,87,"Drama,Romance",7.8,14952
tt0040613,movie,Mr. Blandings Builds His Dream House,1948,94,"Comedy,Romance",7.2,13706
tt0040636,movie,The Naked City,1948,96,"Crime,Drama,Film-Noir",7.5,17073
tt0040662,movie,Oliver Twist,1948,105,Drama,7.8,15034
tt0040724,movie,Red River,1948,133,"Drama,Western",7.7,38022
tt0040725,movie,The Red Shoes,1948,135,"Drama,Music,Romance",8.1,43826
tt0040746,movie,Rope,1948,80,"Crime,Drama,Mystery",7.9,165567
tt0040823,movie,"Sorry, Wrong Number",1948,89,"Drama,Film-Noir,Mystery",7.3,14300
tt0040872,movie,They Live by Night,1948,95,"Crime,Drama,Film-Noir",7.4,10410
tt0040897,movie,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2,141834
tt0040979,movie,Drunken Angel,1948,102,"Crime,Drama,Romance",7.6,14907
tt0041090,movie,Adam's Rib,1949,101,"Comedy,Romance",7.4,24551
tt0041094,movie,The Adventures of Ichabod and Mr. Toad,1949,68,"Animation,Comedy,Family",6.8,20308
tt0041113,movie,All the King's Men,1949,110,"Drama,Film-Noir",7.4,18222
tt0041154,movie,Late Spring,1949,110,"Comedy,Drama",8.2,21733
tt0041268,movie,Criss Cross,1949,84,"Crime,Drama,Film-Noir",7.4,10810
tt0041386,movie,The Fountainhead,1949,114,"Drama,Romance",7.0,11848
tt0041452,movie,The Heiress,1949,115,"Drama,Romance",8.1,19085
tt0041546,movie,Kind Hearts and Coronets,1949,106,"Comedy,Crime",8.0,42206
tt0041587,movie,A Letter to Three Wives,1949,103,"Comedy,Drama,Romance",7.6,11777
tt0041699,movie,Stray Dog,1949,122,"Crime,Drama,Mystery",7.8,20971
tt0041716,movie,On the Town,1949,98,"Comedy,Musical,Romance",7.3,19982
tt0041719,movie,Orpheus,1950,112,"Drama,Fantasy,Romance",7.8,14588
tt0041838,movie,Samson and Delilah,1949,134,"Drama,Family,History",6.8,10015
tt0041841,movie,Sands of Iwo Jima,1949,100,"Action,Drama,Romance",7.0,12438
tt0041859,movie,The Set-Up,1949,73,"Crime,Film-Noir,Sport",7.8,11322
tt0041866,movie,She Wore a Yellow Ribbon,1949,104,"Drama,Western",7.2,20871
tt0041959,movie,The Third Man,1949,104,"Drama,Film-Noir,Mystery",8.1,196147
tt0041996,movie,Twelve O'Clock High,1949,132,"Drama,War",7.7,15714
tt0042041,movie,White Heat,1949,114,"Action,Crime,Drama",8.1,38641
tt0042192,movie,All About Eve,1950,138,Drama,8.2,149713
tt0042208,movie,The Asphalt Jungle,1950,112,"Crime,Drama,Film-Noir",7.8,33067
