tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt0029162,movie,Lost Horizon,1937,132,"Adventure,Drama,Fantasy",7.6,15779,en,False,4000000.0,0.0
tt0029192,movie,Make Way for Tomorrow,1937,91,"Drama,Romance",8.1,10673,en,False,0.0,0.0
tt0029284,movie,My Favorite Wife,1940,88,"Comedy,Romance",7.2,12653,en,False,921000.0,2057000.0
tt0029583,movie,Snow White and the Seven Dwarfs,1937,83,"Adventure,Animation,Family",7.6,238567,en,False,1488423.0,184925486.0
tt0029606,movie,A Star Is Born,1937,111,"Drama,Romance",7.3,11932,en,False,1200000.0,2370000.0
tt0029811,movie,Young and Innocent,1937,83,"Crime,Drama,Mystery",6.8,12139,en,False,0.0,0.0
tt0029843,movie,The Adventures of Robin Hood,1938,102,"Action,Adventure,Romance",7.9,57838,en,False,2033000.0,3981000.0
tt0029850,movie,Alexander Nevsky,1938,112,"Action,Biography,Drama",7.4,13220,ru,False,0.0,0.0
tt0029870,movie,Angels with Dirty Faces,1938,97,"Crime,Drama,Film-Noir",7.8,24918,en,False,633000.0,1700000.0
tt0029947,movie,Bringing Up Baby,1938,102,Comedy,7.8,69379,en,False,1073000.0,0.0
tt0029992,movie,A Christmas Carol,1938,69,"Drama,Family,Fantasy",7.5,10016,en,False,0.0,0.0
tt0030241,movie,Holiday,1938,95,"Comedy,Romance",7.7,20248,en,False,0.0,0.0
tt0030287,movie,Jezebel,1938,104,"Drama,Romance",7.4,16493,en,False,1250000.0,0.0
tt0030341,movie,The Lady Vanishes,1938,96,"Crime,Drama,Mystery",7.7,61575,en,False,0.0,0.0
tt0030637,movie,Pygmalion,1938,89,"Comedy,Drama,Romance",7.7,10526,en,False,350000.0,0.0
tt0030643,movie,Port of Shadows,1938,91,"Crime,Drama,Romance",7.7,10895,fr,False,0.0,0.0
tt0030993,movie,You Can't Take It with You,1938,126,"Comedy,Drama,Romance",7.8,30463,en,False,1640000.0,7433101.0
tt0031210,movie,Dark Victory,1939,104,"Drama,Romance",7.4,13505,en,False,0.0,0.0
tt0031225,movie,Destry Rides Again,1939,95,"Comedy,Western",7.6,13551,en,False,0.0,0.0
tt0031381,movie,Gone with the Wind,1939,238,"Drama,Romance,War",8.2,356492,en,False,4000000.0,402352579.0
tt0031385,movie,"Goodbye, Mr. Chips",1939,114,"Drama,Romance",7.9,12388,en,False,1051000.0,3252000.0
tt0031398,movie,Gunga Din,1939,117,"Adventure,Comedy,War",7.2,13635,en,False,1915000.0,2807000.0
tt0031448,movie,The Hound of the Baskervilles,1939,80,"Crime,Mystery,Thriller",7.4,12982,en,True,0.0,0.0
tt0031455,movie,The Hunchback of Notre Dame,1939,116,"Drama,Romance",7.8,13363,en,False,1800000.0,6877900.0
tt0031505,movie,Jamaica Inn,1939,98,"Adventure,Crime,Drama",6.3,12310,en,False,200436.0,0.0
tt0031679,movie,Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",8.1,129783,en,False,1500000.0,9600000.0
tt0031725,movie,Ninotchka,1939,110,"Comedy,Romance",7.8,24949,en,False,1365000.0,2279000.0
tt0031762,movie,Only Angels Have Wings,1939,121,"Adventure,Drama,Romance",7.6,17452,en,False,0.0,0.0
